City,Country,Region,Region Classifier,Measurement Year, 2016 Disclosure Emissions (mt CO2e) ,Emissions per Capita ,Emissions per GDP ,Baseline Year, Baseline Emissions (mt CO2e) ,Target Reduction,Target Date, City Target at Target Date ,City Reduction Rate,Projected Emissions at 2050,Science Based Target Reduction,Science Based Emissions at 2050,% Difference,ipcc_version,Development Classification,ipcc_year_index,current_year_index,year_2050_index, Current Population ,Current Population Year,GDP 2010 ($B),GDP 2025 ($B),GDP % Chg,Continuously Compounded,Pop Mult Effect,Regional Avg Mult Effect
Ferrara,Italy,Europe,4,2007,"1,582,605",12, nan ,2007,"1,582,605",24.7,2020,"1,191,702",-2.18%,"619,225",85%,"237,391",49,AR4,Developed,5,7,38,"133,155",2015,,,,,,
Durban,South Africa,Africa_Developed,1,2014,"22,587,081",6,"149,583",2006,"21,413,906",24.5,2020,"16,167,499",-2.01%,"10,965,020",85%,"3,212,086",-101,AR4,Developed,8,6,36,"3,555,868",2015,151,229,0.516556291,0.027762811,2.133000817,2.510312858
Roma ,Italy,Europe,4,2010,"10,008,879",3, nan ,2003,"4,174,937",23,2020,"3,214,701",-1.54%,"5,411,340",85%,"626,241",-107,AR4,Developed,6,5,39,"2,868,347",2015,,,,,,
Bologna,Italy,Europe,4,2009,"2,270,525",6, nan ,2005,"2,288,510",21,2020,"1,807,923",-1.57%,"1,192,084",85%,"343,277",-29,AR4,Developed,10,23,37,"386,181",2014,,,,,,
Piacenza,Italy,Europe,4,1990,"615,452",6,"4,334",1990,"263,270",20.4,2020,"209,563",-0.76%,"389,960",85%,"39,491",-57,AR4,Developed,-7,6,37,"102,269",2014,142,199,0.401408451,0.022498518,2.005391952,2.923622767
Lisbon,Portugal,Europe,4,2014,"1,934,361",4,"2,532",2002,"3,887,013",20,2020,"3,109,610",-1.24%,"1,237,991",85%,"583,052",-94,AR4,Developed,-10,25,35,"547,773",2011,764,971,0.270942408,0.015983912,2.725663281,2.923622767
Pittsburgh,USA,North_America_Developed,6,2013,"4,803,046",16,"15,248",2003,"5,000,000",20,2023,"4,000,000",-1.12%,"3,178,581",85%,"750,000",-29,AR4,Developed,-5,7,38,"305,704",2016,315,419,0.33015873,0.019019885,5.97449585,2.510312858
Hayward,USA,North_America_Developed,6,2015,"1,048,704",7, nan ,2005,"1,130,113",20,2020,"904,090",-1.49%,"623,060",85%,"169,517",-46,AR4,Developed,-7,8,35,"158,985",2015,,,,,,
Rio de Janeiro,Brazil,Latin_America,5,2012,"20,268,045",3, nan ,2005,"11,933,280",20,2020,"9,546,624",-1.49%,"11,516,128",85%,"1,789,992",91,AR4,Developing,13,0,37,"6,476,631",2015,,,,,,
Dublin,Ireland,Europe,4,2011,"2,942,349",6, nan ,2006,"5,054,000",20,2020,"4,043,200",-1.59%,"1,580,267",72%,"1,415,120",-40,AR5,Developed,-20,19,41,"527,612",2011,,,,,,
New Taipei ,Taiwan,Developed_Asia,3,2014,"17,233,924",4, nan ,2006,"18,487,331",20,2026,"14,789,865",-1.12%,"11,533,102",72%,"5,176,453",-36,AR5,Developed,-3,5,38,"3,966,818",2014,,,,,,
Philadelphia,USA,North_America_Developed,6,2012,"19,212,870",12, nan ,2006,"22,837,228",20,2015,"18,269,782",-2.48%,"7,488,876",85%,"3,425,584",-95,AR4,Developed,5,9,36,"1,560,297",2014,,,,,,
Udine,Italy,Europe,4,2013,"613,588",6, nan ,2006,"692,479",20,2020,"553,983",-1.59%,"340,218",85%,"103,872",-107,AR4,Developed,5,4,41,"99,528",2013,,,,,,
Belo Horizonte,Brazil,Latin_America,5,2013,"3,241,713",1, nan ,2007,"3,176,966",20,2020,"2,541,573",-1.72%,"1,717,725",72%,"889,550",10,AR5,Developing,4,-2,38,"2,502,557",2015,,,,,,
Burlington,USA,North_America_Developed,6,2010,"405,385",10, nan ,2007,"401,996",20,2020,"321,597",-1.72%,"204,025",85%,"60,299",-91,AR4,Developed,10,24,36,"42,284",2015,,,,,,
"Lake Forest, IL",USA,North_America_Developed,6,2007,"402,364",21, nan ,2007,"402,364",20,2015,"321,891",-2.79%,"121,263",85%,"60,355",-29,AR4,Developed,-4,10,36,"19,375",2010,,,,,,
Warsaw,Poland,Europe,4,2014,"11,721,774",7,"81,970",2007,"12,952,984",20,2020,"10,362,387",-1.72%,"6,318,692",85%,"1,942,948",-106,AR4,Developed,0,14,36,"1,626,514",2016,143,211,0.475524476,0.025934234,3.012078486,2.923622767
Barreiro,Portugal,Europe,4,2014,"290,849",4,"1,081",2008,"347,987",20,2020,"278,390",-1.86%,"148,915",50%,"173,994",86,AR4,Developed,-5,8,37,"78,764",2011,269,411,0.527881041,0.028258789,1.830241249,1.817600429
Moita,Portugal,Europe,4,2013,"96,508",1, nan ,2008,"15,177",20,2020,"12,142",-1.86%,"48,502",85%,"2,277",-91,AR4,Developed,1,14,35,"66,029",2011,,,,,,
Atlanta,USA,North_America_Developed,6,2014,"9,024,235",20,"33,423",2009,"10,267,363",20,2020,"8,213,890",-2.03%,"4,347,608",85%,"1,540,104",-124,AR4,Developed,-10,23,37,"443,775",2013,270,410,0.518518519,0.027849013,2.114449055,2.510312858
Yonkers,USA,North_America_Developed,6,2010,"1,248,650",6, nan ,2010,"844,276",20,2020,"675,421",-2.23%,"511,447",85%,"126,641",-50,AR4,Developed,10,15,45,"199,766",2013,,,,,,
Zaragoza,Spain,Europe,4,2014,"1,785,604",0, nan ,2010,"1,237,553",20,2020,"990,042",-2.23%,"799,667",85%,"185,633",-101,AR4,Developed,8,5,37,"7,000,463",2015,,,,,,
Columbus,USA,North_America_Developed,6,2015,"10,983,600",13,"107,682",2013,"10,901,086",20,2020,"8,720,869",-3.19%,"3,599,106",85%,"1,635,163",-32,AR4,Developed,-10,23,37,"835,957",2014,102,157,0.539215686,0.028751533,2.029868122,2.510312858
"London, ON",Canada,North_America_Developed,6,2014,"3,070,000",8, nan ,1990,"3,290,000",15,2020,"2,796,500",-0.54%,"2,526,045",85%,"493,500",-109,AR4,Developing,5,7,38,"375,000",2014,,,,,,
Baltimore,USA,North_America_Developed,6,2010,"7,579,144",12, nan ,2010,"7,579,144",15,2020,"6,442,272",-1.63%,"3,956,361",85%,"1,136,872",200,AR4,Developed,10,22,38,"622,793",2014,,,,,,
La Paz,Bolivia,Latin_America,5,2012,"1,426,534",125, nan ,2014,708,14.15,2018,608,-3.81%,"334,823",85%,106,31,AR4,Developed,-6,9,35,"11,411",2015,,,,,,
Benicia,USA,North_America_Developed,6,2010,"688,706",25, nan ,2000,"487,035",10,2020,"438,332",-0.53%,"557,852",50%,"243,518",94,AR4,Developed,-5,5,40,"27,450",2014,,,,,,
Cape Town,South Africa,Africa_Developed,1,2012,"22,643,846",6, nan ,2007,"20,550,172",10,2012,"18,495,155",-2.11%,"10,167,010",85%,"3,082,526",-104,AR4,Developed,7,7,36,"3,918,830",2014,,,,,,
